time_val,ssr
2020-07-02,17362654.87946662
2020-07-03,16818516.2969023
2020-07-04,16466375.980021276
2020-07-05,18669190.1627599
2020-07-06,24421389.32432986
2020-07-07,25726633.13946832
2020-07-08,23105383.274567895
2020-07-09,12326359.565052088
2020-07-10,15737987.940702584
2020-07-11,12772777.057234999
2020-07-12,5970614.285796074
2020-07-13,19546097.039882936
2020-07-14,23136808.999668524
2020-07-15,24649548.698348124
2020-07-16,22993886.5238684
2020-07-17,17810794.32918929
2020-07-18,16377695.16672361
2020-07-19,15970021.719185311
2020-07-20,25769682.07796233
2020-07-21,21271068.00533802
2020-07-22,9392574.406685133
2020-07-23,22596114.332183726
2020-07-24,26239345.996932007
2020-07-25,18286915.58893307
2020-07-26,5168182.0722676795
2020-07-27,16104764.89667157
2020-07-28,20947770.477247983
2020-07-29,21721359.901985392
2020-07-30,21775171.075102907
2020-07-31,16259310.585865077
2020-08-01,17723835.473431382
2020-08-02,10618177.68560967
2020-08-03,17180127.380252004
2020-08-04,17289471.684026796
2020-08-05,6819539.352898002
2020-08-06,2404870.710337015
2020-08-07,7604751.991028791
2020-08-08,13055178.093755722
2020-08-09,19694615.87768728
2020-08-10,21974918.149715126
2020-08-11,18348906.060364448
2020-08-12,8734786.62649662
2020-08-13,7519515.092810647
2020-08-14,21665396.281943172
2020-08-15,8098953.804940055
2020-08-16,16204207.94459274
2020-08-17,21466940.675485775
2020-08-18,20696364.67644295
2020-08-19,11306530.212128932
2020-08-20,4093250.0780721866
2020-08-21,20788489.404820137
2020-08-22,21850937.20685237
2020-08-23,16684634.098185921
2020-08-24,8555272.55297659
2020-08-25,17762579.518075995
2020-08-26,6787683.138412433
2020-08-27,16088836.789428787
2020-08-28,22212548.290202074
2020-08-29,22119562.583055004
2020-08-30,22465245.559161928
2020-08-31,17835762.713515818
2020-09-01,22465245.559161928
2020-09-02,20030828.087325517
2020-09-03,21804874.842663772
2020-09-04,22364511.043085936
2020-09-05,22002038.980966352
2020-09-06,19136701.634804875
2020-09-07,20871573.856113583
2020-09-08,20647719.37594472
2020-09-09,17896892.206177313
2020-09-10,21067877.01564628
2020-09-11,13211445.740488987
2020-09-12,12932058.129662845
2020-09-13,17723404.984046444
2020-09-14,14371184.143517686
2020-09-15,12079258.658096457
2020-09-16,20673548.739041124
2020-09-17,20396313.575139683
2020-09-18,20741996.551246606
2020-09-19,20659342.5893381
2020-09-20,19316646.197709847
2020-09-21,15645432.722940458
2020-09-22,15949788.718093127
2020-09-23,14370323.164747804
2020-09-24,13847278.562045552
2020-09-25,15534796.951010846
2020-09-26,19022621.94779574
2020-09-27,15752624.579790547
2020-09-28,14714284.183314966
2020-09-29,11433094.091301328
2020-09-30,17264933.78908521
2020-10-01,10494627.232131854
2020-10-02,8809261.290091261
2020-10-03,12071509.849167535
2020-10-04,16753512.39977634
2020-10-05,12851987.104063982
2020-10-06,12845960.25267482
2020-10-07,15648015.659250097
2020-10-08,12264799.583005652
2020-10-09,13476196.712227164
2020-10-10,8565173.808830211
2020-10-11,11986272.95094939
2020-10-12,16353157.271782024
2020-10-13,11273382.529488541
2020-10-14,6627971.576599646
2020-10-15,11262189.805480098
2020-10-16,10644868.027475959
2020-10-17,16611450.9027461
2020-10-18,15814615.051221926
2020-10-19,15687620.68266459
2020-10-20,13262243.487911921
2020-10-21,15885215.310352108
2020-10-22,15686759.703894708
2020-10-23,15585164.20904884
2020-10-24,15243786.12679132
2020-10-25,13307014.383945694
2020-10-26,14307041.225161606
2020-10-27,9806705.194997534
2020-10-28,12395668.356027449
2020-10-29,4820777.138620999
2020-10-30,12086146.488255499
2020-10-31,9313364.359856151
2020-11-01,11665558.359168995
2020-11-02,13848570.030200373
2020-11-03,13843404.15758109
2020-11-04,13232109.230966114
2020-11-05,5734275.613463946
2020-11-06,12844668.78452
2020-11-07,13085312.35070153
2020-11-08,12998783.984328564
2020-11-09,12757279.439377155
2020-11-10,12382753.674479246
2020-11-11,12072370.827937415
2020-11-12,11658670.529009953
2020-11-13,11933322.756601755
2020-11-14,10486878.423202932
2020-11-15,10267328.836883469
2020-11-16,10420583.057922153
2020-11-17,1177975.9632576555
2020-11-18,877494.3725694492
2020-11-19,4283526.386215722
2020-11-20,10402502.503754668
2020-11-21,3890059.0883804467
2020-11-22,9445094.11164783
2020-11-23,7776517.255619901
2020-11-24,10203185.918527389
2020-11-25,9438636.770873725
2020-11-26,6672742.47263342
2020-11-27,8516958.997716919
2020-11-28,6451470.928774195
2020-11-29,7801916.129331369
2020-11-30,7797611.235481967
2020-12-01,6273678.812793923
2020-12-02,3609380.009399485
2020-12-03,10455452.698102303
2020-12-04,10425318.441156493
2020-12-05,10033142.61147604
2020-12-06,9892372.58260062
2020-12-07,9362440.149739325
2020-12-08,9774848.980511963
2020-12-09,5451874.576943222
2020-12-10,9717593.892314928
2020-12-11,8459703.909519881
2020-12-12,9659477.82534801
